Escenario,Longitud,Macro-F1
no_prep_len_256,256,0.6400220558966241
no_prep_len_384,384,0.6759616293806191
no_prep_len_512,512,0.5697783898575199
prep_0_len_256,256,0.6845553128508743
prep_0_len_384,384,0.7186001595775747
prep_0_len_512,512,0.7486691177592849
prep_1_len_256,256,0.6940314797554766
prep_1_len_384,384,0.7262191851403907
prep_1_len_512,512,0.7788718628764812
prep_2_len_256,256,0.6769779139994049
prep_2_len_384,384,0.7475233489907149
prep_2_len_512,512,0.7536360460750067
prep_3_len_256,256,0.6649331804974344
prep_3_len_384,384,0.7357462701494736
prep_3_len_512,512,0.7646014244326536
prep_4_len_256,256,0.7106215145845854
prep_4_len_384,384,0.7485117621195847
prep_4_len_512,512,0.7803755321160438
