Dataset,Vectorizacion,Macro_F1
tcga_simple_train.csv,Binaria,0.3615
tcga_simple_train.csv,Frecuencia,0.3432
tcga_simple_train.csv,Tfidf,0.3462
tcga_simple_train.csv,Word2Vec,0.4312
tcga_simple_train.csv,FastText,0.4032
tcga_simple_train_preprocessed_0.csv,Binaria,0.4129
tcga_simple_train_preprocessed_0.csv,Frecuencia,0.3373
tcga_simple_train_preprocessed_0.csv,Tfidf,0.3629
tcga_simple_train_preprocessed_0.csv,Word2Vec,0.4351
tcga_simple_train_preprocessed_0.csv,FastText,0.398
tcga_simple_train_preprocessed_1.csv,Binaria,0.3252
tcga_simple_train_preprocessed_1.csv,Frecuencia,0.2963
tcga_simple_train_preprocessed_1.csv,Tfidf,0.4215
tcga_simple_train_preprocessed_1.csv,Word2Vec,0.4472
tcga_simple_train_preprocessed_1.csv,FastText,0.4305
tcga_simple_train_preprocessed_2.csv,Binaria,0.2737
tcga_simple_train_preprocessed_2.csv,Frecuencia,0.5137
tcga_simple_train_preprocessed_2.csv,Tfidf,0.3127
tcga_simple_train_preprocessed_2.csv,Word2Vec,0.4246
tcga_simple_train_preprocessed_2.csv,FastText,0.4525
tcga_simple_train_preprocessed_3.csv,Binaria,0.4458
tcga_simple_train_preprocessed_3.csv,Frecuencia,0.4019
tcga_simple_train_preprocessed_3.csv,Tfidf,0.279
tcga_simple_train_preprocessed_3.csv,Word2Vec,0.4663
tcga_simple_train_preprocessed_3.csv,FastText,0.4542
tcga_simple_train_preprocessed_4.csv,Binaria,0.4092
tcga_simple_train_preprocessed_4.csv,Frecuencia,0.4621
tcga_simple_train_preprocessed_4.csv,Tfidf,0.4929
tcga_simple_train_preprocessed_4.csv,Word2Vec,0.4204
tcga_simple_train_preprocessed_4.csv,FastText,0.4651
tcga_simple_train_preprocessed_3_augmented.csv,Binaria,0.5491
tcga_simple_train_preprocessed_3_augmented.csv,Frecuencia,0.5177
tcga_simple_train_preprocessed_3_augmented.csv,Tfidf,0.6193
tcga_simple_train_preprocessed_3_augmented.csv,Word2Vec,0.5572
tcga_simple_train_preprocessed_3_augmented.csv,FastText,0.5598
