Escenario,Longitud,Macro-F1
no_prep_len_256,256,0.593104146902424
no_prep_len_384,384,0.5915496405560567
no_prep_len_512,512,0.7111382848986514
prep_0_len_256,256,0.6002403632290692
prep_0_len_384,384,0.6900942675297832
prep_0_len_512,512,0.7348773867238021
prep_1_len_256,256,0.6709760444672801
prep_1_len_384,384,0.750922979917892
prep_1_len_512,512,0.7846635533688364
prep_2_len_256,256,0.599530296714481
prep_2_len_384,384,0.7241159675679392
prep_2_len_512,512,0.7897888064601195
prep_3_len_256,256,0.6925169128539785
prep_3_len_384,384,0.7054282874857228
prep_3_len_512,512,0.7913571083522862
prep_4_len_256,256,0.7121101670246633
prep_4_len_384,384,0.7625086347765677
prep_4_len_512,512,0.7757560219148105
