Dataset,Vectorizacion,Macro_F1
tcga_simple_train.csv,Binaria,0.4127
tcga_simple_train.csv,Frecuencia,0.4011
tcga_simple_train.csv,Tfidf,0.2727
tcga_simple_train.csv,Word2Vec,0.4036
tcga_simple_train.csv,FastText,0.357
tcga_simple_train_preprocessed_0.csv,Binaria,0.3504
tcga_simple_train_preprocessed_0.csv,Frecuencia,0.4286
tcga_simple_train_preprocessed_0.csv,Tfidf,0.4315
tcga_simple_train_preprocessed_0.csv,Word2Vec,0.3942
tcga_simple_train_preprocessed_0.csv,FastText,0.3732
tcga_simple_train_preprocessed_1.csv,Binaria,0.4849
tcga_simple_train_preprocessed_1.csv,Frecuencia,0.4793
tcga_simple_train_preprocessed_1.csv,Tfidf,0.4721
tcga_simple_train_preprocessed_1.csv,Word2Vec,0.4066
tcga_simple_train_preprocessed_1.csv,FastText,0.3925
tcga_simple_train_preprocessed_2.csv,Binaria,0.3838
tcga_simple_train_preprocessed_2.csv,Frecuencia,0.3609
tcga_simple_train_preprocessed_2.csv,Tfidf,0.351
tcga_simple_train_preprocessed_2.csv,Word2Vec,0.3972
tcga_simple_train_preprocessed_2.csv,FastText,0.3767
tcga_simple_train_preprocessed_3.csv,Binaria,0.517
tcga_simple_train_preprocessed_3.csv,Frecuencia,0.3352
tcga_simple_train_preprocessed_3.csv,Tfidf,0.3711
tcga_simple_train_preprocessed_3.csv,Word2Vec,0.3976
tcga_simple_train_preprocessed_3.csv,FastText,0.4061
tcga_simple_train_preprocessed_4.csv,Binaria,0.473
tcga_simple_train_preprocessed_4.csv,Frecuencia,0.5088
tcga_simple_train_preprocessed_4.csv,Tfidf,0.4557
tcga_simple_train_preprocessed_4.csv,Word2Vec,0.4039
tcga_simple_train_preprocessed_4.csv,FastText,0.3956
tcga_simple_train_preprocessed_3_augmented.csv,Binaria,0.5472
tcga_simple_train_preprocessed_3_augmented.csv,Frecuencia,0.5042
tcga_simple_train_preprocessed_3_augmented.csv,Tfidf,0.4684
tcga_simple_train_preprocessed_3_augmented.csv,Word2Vec,0.5665
tcga_simple_train_preprocessed_3_augmented.csv,FastText,0.5583
